,Year,Month,DebtBalanceEnd,DebtFunding,DebtPayoff,DebtService,EquityContribution,GrossPurchasePrice,NETOPERATINGINCOME,NTMNOI,GrossProceed,NetProceed,CashflowUnlever,CashflowLever
0,2018,08,0.0,67100000.0,0.0,0.0,63403607.405,130503607.405,0.0,0.0,0.0,0.0,-130503607.405,-63403607.405
1,2018,09,67100000.0,0.0,0.0,-350903.0,0.0,0.0,492659.59375,5619676.0,0.0,0.0,492659.59375,141756.59375
2,2018,10,67100000.0,0.0,0.0,-357068.0,0.0,0.0,476045.90625,5583871.0,0.0,0.0,476045.90625,118977.90625
3,2018,11,67100000.0,0.0,0.0,-358944.0,0.0,0.0,476522.0,5548029.0,0.0,0.0,476522.0,117578.0
4,2018,12,67100000.0,0.0,0.0,-366218.0,0.0,0.0,476998.5,5512152.0,0.0,0.0,476998.5,110780.5
5,2019,01,67100000.0,0.0,0.0,-369598.0,0.0,0.0,477475.5,5476239.0,0.0,0.0,477475.5,107877.5
6,2019,02,67100000.0,0.0,0.0,-368741.0,0.0,0.0,477953.0,5440291.0,0.0,0.0,477953.0,109212.0
7,2019,03,67100000.0,0.0,0.0,-368322.0,0.0,0.0,478430.90625,5404306.0,0.0,0.0,478430.90625,110108.90625
8,2019,04,67100000.0,0.0,0.0,-368748.0,0.0,0.0,478909.40625,5368285.0,0.0,0.0,478909.40625,110161.40625
9,2019,05,67100000.0,0.0,0.0,-368896.0,0.0,0.0,479388.3125,5332228.0,0.0,0.0,479388.3125,110492.3125
10,2019,06,67100000.0,0.0,0.0,-368552.0,0.0,0.0,479867.6875,5296135.0,0.0,0.0,479867.6875,111315.6875
11,2019,07,67100000.0,0.0,0.0,-368075.0,0.0,0.0,438922.40625,5301431.0,0.0,0.0,438922.40625,70847.40625
12,2019,08,67100000.0,0.0,0.0,-367593.0,0.0,0.0,439361.40625,5306733.0,0.0,0.0,439361.40625,71768.40625
13,2019,09,67100000.0,0.0,0.0,-367268.0,0.0,0.0,439800.8125,5312040.0,0.0,0.0,439800.8125,72532.8125
14,2019,10,67100000.0,0.0,0.0,-367086.0,0.0,0.0,440240.5,5317352.0,0.0,0.0,440240.5,73154.5
15,2019,11,67100000.0,0.0,0.0,-366763.0,0.0,0.0,440680.8125,5322669.0,0.0,0.0,440680.8125,73917.8125
16,2019,12,67100000.0,0.0,0.0,-366421.0,0.0,0.0,441121.5,5327992.0,0.0,0.0,441121.5,74700.5
17,2020,01,67100000.0,0.0,0.0,-365966.0,0.0,0.0,441562.59375,5333320.0,0.0,0.0,441562.59375,75596.59375
18,2020,02,67100000.0,0.0,0.0,-365051.0,0.0,0.0,442004.1875,5338653.0,0.0,0.0,442004.1875,76953.1875
19,2020,03,67100000.0,0.0,0.0,-364018.0,0.0,0.0,442446.1875,5343992.0,0.0,0.0,442446.1875,78428.1875
20,2020,04,67100000.0,0.0,0.0,-362961.0,0.0,0.0,442888.59375,5349336.0,0.0,0.0,442888.59375,79927.59375
21,2020,05,67100000.0,0.0,0.0,-361675.0,0.0,0.0,443331.5,5354685.0,0.0,0.0,443331.5,81656.5
22,2020,06,67100000.0,0.0,0.0,-360446.0,0.0,0.0,443774.8125,5360040.0,0.0,0.0,443774.8125,83328.8125
23,2020,07,67100000.0,0.0,0.0,-359508.0,0.0,0.0,444218.59375,5365400.0,0.0,0.0,444218.59375,84710.59375
24,2020,08,67100000.0,0.0,0.0,-358424.0,0.0,0.0,444662.8125,5370765.0,0.0,0.0,444662.8125,86238.8125
25,2020,09,67100000.0,0.0,0.0,-357566.0,0.0,0.0,445107.5,5376136.0,0.0,0.0,445107.5,87541.5
26,2020,10,67100000.0,0.0,0.0,-356818.0,0.0,0.0,445552.59375,5381512.0,0.0,0.0,445552.59375,88734.59375
27,2020,11,67100000.0,0.0,0.0,-356087.0,0.0,0.0,445998.09375,5386894.0,0.0,0.0,445998.09375,89911.09375
28,2020,12,67100000.0,0.0,0.0,-355528.0,0.0,0.0,446444.09375,5392280.0,0.0,0.0,446444.09375,90916.09375
29,2021,01,67100000.0,0.0,0.0,-355084.0,0.0,0.0,446890.59375,5397673.0,0.0,0.0,446890.59375,91806.59375
30,2021,02,67100000.0,0.0,0.0,-354606.0,0.0,0.0,447337.5,5403070.0,0.0,0.0,447337.5,92731.5
31,2021,03,67100000.0,0.0,0.0,-354279.0,0.0,0.0,447784.8125,5408473.0,0.0,0.0,447784.8125,93505.8125
32,2021,04,67100000.0,0.0,0.0,-354053.0,0.0,0.0,448232.59375,5413882.0,0.0,0.0,448232.59375,94179.59375
33,2021,05,67100000.0,0.0,0.0,-353753.0,0.0,0.0,448680.8125,5419296.0,0.0,0.0,448680.8125,94927.8125
34,2021,06,67100000.0,0.0,0.0,-353545.0,0.0,0.0,449129.5,5424715.0,0.0,0.0,449129.5,95584.5
35,2021,07,67100000.0,0.0,0.0,-353411.0,0.0,0.0,449578.59375,5430140.0,0.0,0.0,449578.59375,96167.59375
36,2021,08,67100000.0,0.0,0.0,-353230.0,0.0,0.0,450028.1875,5435570.0,0.0,0.0,450028.1875,96798.1875
37,2021,09,67100000.0,0.0,0.0,-353150.0,0.0,0.0,450478.1875,5441006.0,0.0,0.0,450478.1875,97328.1875
38,2021,10,67100000.0,0.0,0.0,-353167.0,0.0,0.0,450928.6875,5446447.0,0.0,0.0,450928.6875,97761.6875
39,2021,11,67100000.0,0.0,0.0,-353160.0,0.0,0.0,451379.6875,5451893.0,0.0,0.0,451379.6875,98219.6875
40,2021,12,67100000.0,0.0,0.0,-353245.0,0.0,0.0,451831.0,5457345.0,0.0,0.0,451831.0,98586.0
41,2022,01,67100000.0,0.0,0.0,-353451.0,0.0,0.0,452282.8125,5462802.0,0.0,0.0,452282.8125,98831.8125
42,2022,02,67100000.0,0.0,0.0,-353614.0,0.0,0.0,452735.09375,5468265.0,0.0,0.0,452735.09375,99121.09375
43,2022,03,67100000.0,0.0,0.0,-353860.0,0.0,0.0,453187.90625,5473733.0,0.0,0.0,453187.90625,99327.90625
44,2022,04,67100000.0,0.0,0.0,-354177.0,0.0,0.0,453641.09375,5479207.0,0.0,0.0,453641.09375,99464.09375
45,2022,05,67100000.0,0.0,0.0,-354407.0,0.0,0.0,454094.6875,5484686.0,0.0,0.0,454094.6875,99687.6875
46,2022,06,67100000.0,0.0,0.0,-354679.0,0.0,0.0,454548.8125,5490171.0,0.0,0.0,454548.8125,99869.8125
47,2022,07,67100000.0,0.0,0.0,-355013.0,0.0,0.0,455003.3125,5495661.0,0.0,0.0,455003.3125,99990.3125
48,2022,08,67100000.0,0.0,0.0,-355273.0,0.0,0.0,455458.3125,5501157.0,0.0,0.0,455458.3125,100185.3125
49,2022,09,67100000.0,0.0,0.0,-355543.0,0.0,0.0,455913.8125,5506658.0,0.0,0.0,455913.8125,100370.8125
50,2022,10,67100000.0,0.0,0.0,-355869.0,0.0,0.0,456369.6875,5512165.0,0.0,0.0,456369.6875,100500.6875
51,2022,11,67100000.0,0.0,0.0,-356105.0,0.0,0.0,456826.09375,5517677.0,0.0,0.0,456826.09375,100721.09375
52,2022,12,67100000.0,0.0,0.0,-356394.0,0.0,0.0,457282.90625,5523194.0,0.0,0.0,457282.90625,100888.90625
53,2023,01,67100000.0,0.0,0.0,-356708.0,0.0,0.0,457740.1875,5528718.0,0.0,0.0,457740.1875,101032.1875
54,2023,02,67100000.0,0.0,0.0,-356927.0,0.0,0.0,458197.90625,5534246.0,0.0,0.0,458197.90625,101270.90625
55,2023,03,67100000.0,0.0,0.0,-357201.0,0.0,0.0,458656.09375,5539781.0,0.0,0.0,458656.09375,101455.09375
56,2023,04,67100000.0,0.0,0.0,-357551.0,0.0,0.0,459114.8125,5545320.0,0.0,0.0,459114.8125,101563.8125
57,2023,05,67100000.0,0.0,0.0,-357862.0,0.0,0.0,459573.90625,5550866.0,0.0,0.0,459573.90625,101711.90625
58,2023,06,67100000.0,0.0,0.0,-358218.0,0.0,0.0,460033.5,5556417.0,0.0,0.0,460033.5,101815.5
59,2023,07,67100000.0,0.0,0.0,-358688.0,0.0,0.0,460493.5,5561973.0,0.0,0.0,460493.5,101805.5
60,2023,08,67100000.0,0.0,0.0,-359102.0,0.0,0.0,460954.0,5567535.0,0.0,0.0,460954.0,101852.0
61,2023,09,67100000.0,0.0,0.0,-359638.0,0.0,0.0,461415.0,5573102.0,0.0,0.0,461415.0,101777.0
62,2023,10,67100000.0,0.0,0.0,-360236.0,0.0,0.0,461876.40625,5578676.0,0.0,0.0,461876.40625,101640.40625
63,2023,11,67100000.0,0.0,0.0,-360759.0,0.0,0.0,462338.3125,5584254.0,0.0,0.0,462338.3125,101579.3125
64,2023,12,67100000.0,0.0,0.0,-361394.0,0.0,0.0,462800.59375,5589838.0,128046289.06976745,60946289.069767445,128509089.66351745,61047695.663517445
